Dynamic,Wording1,Static,Wording2,Calibration,Wording3
1804, Which of these political parties is considered most conservative?,1713, Which of these political parties is considered most conservative?,1632, Which of these political parties is considered most conservative?]
1805," Near the end of an election campaign, a poll shows that an issue that no candidate has mentioned is of great concern to voters. What is most likely to happen?",1720," Near the end of an election campaign, a poll shows that an issue that no candidate has mentioned is of great concern to voters. What is most likely to happen?",1596, Near the end of an election campaign  a poll shows that an issue that no candidate has mentioned is of great concern to voters. What is most likely to happen?]
1806, The President of the Senate is,1721, The President of the Senate is,1598, The President of the Senate is]
1807, Liberals are generally said to,1752, Liberals are generally said to,1631, Liberals are generally said to]
1808, Conservatives are generally said to,1753, Conservatives are generally said to,1633, Conservatives are generally said to]
1809, Which of these regions of the country is generally considered to be most supportive of Republican candidates,1757, Which of these regions of the country is generally considered to be most supportive of Republican candidates,1634, Which of these regions of the country is generally considered to be most supportive of Republican candidates]
1810, Which party is generally more supportive of increasing taxes on higher income people,1758, Which party is generally more supportive of increasing taxes on higher income people,1635, Which party is generally more supportive of increasing taxes on higher income people to reduce the federal budget deficit?]
1811, Which party is generally more supportive of restricting access to abortion?,1759, Which party is generally more supportive of restricting access to abortion?,1636, Which party is generally more supportive of restricting access to abortion?]
1812, The EPA is part of the national government primarily responsible for regulating,1760, The EPA is part of the national government primarily responsible for regulating,1637, The EPA is part of the national government primarily responsible for regulating]
1813, The U.S. Senate,1761, The U.S. Senate,1638, The U.S. Senate]
1814, Whose responsibility is it to nominate judges to the Federal Courts,1762, Whose responsibility is it to nominate judges to the Federal Courts,1639, Whose responsibility is it to nominate judges to the Federal Courts]
1815," Compared to 30 years ago, is the difference in incomes between the top 20% of households and the bottom 20% of households now bigger, smaller, or the same?",1763," Compared to 30 years ago, is the difference in incomes between the top 20% of households and the bottom 20% of households now bigger, smaller, or the same?",1641, Compared to 30 years ago
1816, Which of these countries is NOT a permanent member of the U.N. Security Council,1708, Which of these countries is NOT a permanent member of the U.N. Security Council,1583, Which of these countries is NOT a member of the U.N. Security Council]
1817, How many Justices typically serve on the U.S. Supreme Court,1710, How many Justices typically serve on the U.S. Supreme Court,1584, How many Justices typically serve on the U.S. Supreme Court]
1818, The House of Representatives has how many voting members?,1709, The House of Representatives has how many voting members?,1585, The House of Representatives has how many voting members?]
1819, What job or political office is now held by Ben Bernanke?,1712, What job or political office is now held by Ben Bernanke?,1587, What job or political office is now held by Ben Bernanke?]
1820, <i>Citizens United v the FEC</i> is a case decided by the Supreme Court that relates to,1755, <i>Citizens United v the FEC</i> is a case decided by the Supreme Court that relates to,1588, <i>Citizens United v the FEC</i> is a case decided by the Supreme Court that relates to]
1821, Who is the Vice President of the United States?,1714, Who is the Vice President of the United States?,1590, Who is the Vice President of the United States?]
1822, Who is the Speaker of the House of Representatives?,1715, Who is the Speaker of the House of Representatives?,1591, Who is the Speaker of the House of Representatives?]
1823, How many times can an individual be elected President of the United States under current laws?,1716, How many times can an individual be elected President of the United States under current laws?,1592, How many times can an individual be elected President of the United States under current laws?]
1824, In what month do we vote for President?,1717, In what month do we vote for President?,1593, In what month do we vote for President?]
1825," Is the U.S. federal budget deficit, the amount by which the governments spending exceeds the amount of money it collects, now bigger, about the same, or smaller than it was during most of the 1990s?",1772," Is the U.S. federal budget deficit, the amount by which the governments spending exceeds the amount of money it collects, now bigger, about the same, or smaller than it was during most of the 1990s?",1640, Is the U.S. federal budget deficit
1826, On which of the following federal programs is the <b>most</b> money spent each year?,1775, On which of the following does the U.S. federal government spend the <b>most</b> money,1642, On which of the following federal programs is the <b>most</b> money spent each year?]
1827, Which party has a majority of seats in the U.S. House of Representatives?,1764, Which party has a majority of seats in the U.S. House of Representatives?,1643, Which party has a majority of seats in the U.S. House of Representatives?]
1828, What is Medicare?,1765, What is Medicare?,1644, What is Medicare?]
1829, Which party has a majority of seats in the U.S. Senate?,1766, Which party has a majority of seats in the U.S. Senate?,1645, Which party has a majority of seats in the U.S. Senate?]
1830, On which of the following does the U.S. federal government spend the <b>least</b> money?,1767, On which of the following does the U.S. federal government spend the <b>least</b> money?,1646, On which of the following does the U.S. federal government spend the <b>least</b> money?]
1831, What do all constitutional governments have?,1768, What do all constitutional governments have?,1647, What do all constitutional governments have?]
1832, On which of the following does the U.S. federal government spend the <b>most</b> money,1774, On which of the following federal programs is the <b>most</b> money spent each year?,1648, On which of the following does the U.S. federal government spend the <b>most</b> money each year?]
1833, Who is the Prime Minister of the United Kingdom?,1769, Who is the Prime Minister of the United Kingdom?,1649,Who is the Prime Minister of the United Kingdom?]
1834, Who is the Chief Justice of the U.S. Supreme Court?,1770, Who is the Chief Justice of the U.S. Supreme Court?,1650, Who is the Chief Justice of the U.S. Supreme Court?]
1835, Which of the following actions does the United States federal government commonly take to finance a budget deficit?,1771, Which of the following actions does the United States federal government commonly take to finance a budget deficit?,1651, Which of the following actions does the United States federal government commonly take to finance a budget deficit?]
1837, How many votes are required in Congress to override a presidential veto?,1718, How many votes are required in Congress to override a presidential veto?,1594, How many votes are required in Congress to override a presidential veto?]
1838, The presiding officer in the House of Representatives is,1719, The presiding officer in the House of Representatives is,1595, The presiding officer in the House of Representatives is]
1839," For how many years is a United States Senator elected Ð that is, how many years are there in one full term of office for a U.S. Senator?",1722," For how many years is a United States Senator elected Ð that is, how many years are there in one full term of office for a U.S. Senator?",1597, For how many years is a United States Senator elected Ð that is  how many years are there in one full term of office for a U.S. Senator?]
1840, <i>Roe v Wade</i> is a case decided by the Supreme Court that relates to,1723, <i>Roe v Wade</i> is a case decided by the Supreme Court that relates to,1600, <i>Roe v Wade</i> is a case decided by the Supreme Court that relates to]
1841, The NRA is an organization that advocates for,1724, The NRA is an organization that advocates for,1601, The NRA is an organization that advocates for]
1842, The president may NOT,1725, The president may NOT,1602, The president may NOT]
1843, What do we call the first ten amendments to the Constitution?,1726, What do we call the first ten amendments to the Constitution?,1603, What do we call the first ten amendments to the Constitution?]
1844, Who signs bills to become laws?,1727, Who signs bills to become laws?,1604, Who signs bills to become laws?]
1845, The ability of a minority of senators to prevent a vote on a bill is known as,1728, The ability of a minority of senators to prevent a vote on a bill is known as,1605, The ability of a minority of senators to prevent a vote on a bill is known as]
1846, Social Security is,1729, Social Security is,1606, Social Security is]
1847, The First Amendment to the United States Constitution guarantees all of these rights EXCEPT,1730, The First Amendment to the United States Constitution guarantees all of these rights EXCEPT,1607, The First Amendment to the United States Constitution guarantees all of these rights EXCEPT]
1848, The Secretary of State,1731, The Secretary of State,1608, The Secretary of State]
1849, The federal debt is,1732, The federal debt is,1609, The federal debt is]
1850, The head of the Department of Justice is,1733, The head of the Department of Justice is,1610, The head of the Department of Justice is]
1851, What state holds the first <i>primary</i> election in Presidential primaries?,1734, What state holds the first <i>primary</i> election in Presidential primaries?,1611, What state holds the first <i>primary</i> election in Presidential primaries?]
1852, The Majority Leader of the House of Representative is,1735, The Majority Leader of the House of Representative is,1612, The Majority Leader of the House of Representative is]
1853, Which of <i>the states listed below</i> has the greatest number electoral college votes in U.S. Presidential Elections?,1736, Which of <i>the states listed below</i> has the greatest number electoral college votes in U.S. Presidential Elections?,1613, Which of <i>the states listed below</i> has the greatest number electoral college votes in U.S. Presidential Elections?]
1854, Common Cause is an organization that advocates for,1737, Common Cause is an organization that advocates for,1614, Common Cause is an organization that advocates for]
1855, The President of Afghanistan is named,1738, The President of Afghanistan is named,1615, The President of Afghanistan is named]
1856, The Byrd Rule is relevant,1739, The Byrd Rule is relevant,1616, The Byrd Rule is relevant]
1857, Who is the current president of Mexico?,1740, Who is the current president of Mexico?,1617, Who is the current president of Mexico?]
1858, Most cases are considered by the Supreme Court,1741, Most cases are considered by the Supreme Court,1618, Most cases are considered by the Supreme Court]
1859, Who is the Commander in Chief of the military?,1742, Who is the Commander in Chief of the military?,1619, Who is the Commander in Chief of the military?]
1860, Which party is generally more supportive of reducing the size of the defense budget?,1743, Which party is generally more supportive of reducing the size of the defense budget?,1620, Which party is generally more supportive of reducing the size of the defense budget?]
